HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1039423,1,50,6.000,3,-118.987,35.381
1039423,1,50,5.000,10,-118.976,35.395
1039423,1,50,5.000,11,-118.987,35.381
1039423,1,50,5.000,11,-119.011,35.343
1039423,1,50,5.000,12,-118.987,35.380
1039423,1,50,5.000,18,-118.989,35.385
1039423,1,50,5.000,20,-118.986,35.381
1039423,2,48,6.000,3,-118.987,35.381
1039423,2,48,5.000,10,-118.976,35.395
1039423,2,48,5.000,11,-118.987,35.381
1039423,2,48,5.000,11,-119.011,35.343
1039423,2,48,5.000,12,-118.986,35.381
1039423,2,48,5.000,18,-118.990,35.384
1039423,2,48,5.000,20,-118.987,35.381
1039423,2,48,5.000,20,-118.985,35.386
1039423,2,48,5.000,21,-118.987,35.381
1039423,3,20,6.000,3,-118.987,35.381
1039423,3,20,5.000,10,-118.976,35.394
1039423,3,20,5.000,11,-118.986,35.381
1039423,3,20,5.000,11,-119.011,35.343
1039423,3,20,5.000,12,-118.987,35.381
1039423,4,18,6.000,3,-118.987,35.381
1039423,4,18,5.000,9,-119.038,35.368
1039423,4,18,1.000,16,-118.986,35.381
1039423,4,18,1.000,19,-118.960,35.394
1039423,4,18,5.000,20,-118.986,35.380
1039423,5,17,6.000,3,-118.986,35.380
1039423,5,17,5.000,9,-119.039,35.368
1039423,5,17,5.000,9,-118.986,35.381
1039423,5,17,3.000,9,-118.984,35.390
1039423,5,17,3.000,10,-118.987,35.381
1039423,5,17,1.000,11,-118.960,35.394
1039423,5,17,1.000,13,-118.987,35.381
1039423,6,15,6.000,3,-118.987,35.380
1039423,6,15,3.000,9,-118.988,35.393
1039423,6,15,3.000,9,-118.987,35.381
1039423,6,15,5.000,10,-118.976,35.395
1039423,6,15,5.000,11,-118.987,35.381
1039423,6,15,5.000,11,-119.011,35.343
1039423,6,15,5.000,12,-118.986,35.381
1046885,1,31,6.000,3,-118.830,35.213
1046885,1,31,3.000,10,-118.770,35.283
1046885,1,31,3.000,11,-118.830,35.213
1046885,4,22,6.000,3,-118.830,35.213
1046885,5,17,6.000,3,-118.830,35.213
1046885,6,11,6.000,3,-118.831,35.213
1046885,6,11,3.000,10,-118.770,35.282
1046885,6,11,3.000,11,-118.831,35.213
1046885,7,10,6.000,3,-118.831,35.213
1046885,7,10,3.000,10,-118.770,35.283
1046885,7,10,3.000,11,-118.831,35.213
1046885,8,6,6.000,3,-118.830,35.213
1046885,8,6,3.000,10,-118.770,35.282
1046885,8,6,3.000,11,-118.830,35.214
1132687,1,28,6.000,3,-117.657,35.629
1132687,2,48,6.000,3,-117.658,35.630
1132687,3,10,6.000,3,-117.657,35.629
1132687,4,6,6.000,3,-117.658,35.629
1132687,5,5,6.000,3,-117.658,35.629
1132687,6,1,6.000,3,-117.657,35.630
1157395,1,50,6.000,3,-117.662,35.625
1204054,1,59,6.000,3,-118.912,35.381
1205723,1,26,6.000,3,-119.094,35.342
1205723,1,26,5.000,14,-119.054,35.341
1205723,1,26,5.000,15,-119.095,35.342
1205723,2,25,6.000,3,-119.095,35.343
1205723,2,25,5.000,7,-118.967,35.381
1205723,2,25,5.000,17,-119.095,35.342
1352771,1,78,6.000,3,-117.657,34.998
1352771,1,78,5.000,9,-118.146,34.681
1352771,1,78,5.000,11,-118.165,34.705
1352771,1,78,5.000,15,-117.656,34.998
1352771,2,78,6.000,3,-117.656,34.999
1352771,2,78,5.000,9,-118.146,34.681
1352771,2,78,5.000,11,-118.165,34.705
1352771,2,78,5.000,15,-117.657,34.998
1376287,1,37,6.000,3,-117.675,35.647
1376287,1,37,3.000,18,-117.679,35.639
1376287,1,37,3.000,19,-117.675,35.648
1376287,2,17,6.000,3,-117.674,35.648
1376287,2,17,3.000,18,-117.680,35.640
1376287,2,17,3.000,19,-117.675,35.647
1376287,3,15,6.000,3,-117.675,35.647
1376287,3,15,3.000,18,-117.679,35.639
1376287,3,15,3.000,19,-117.675,35.647
