HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1065929,1,59,6.0,3,-122.22981031114071,37.81298324173165
1065929,2,63,6.0,3,-122.22987813286987,37.81326678549022
1065929,2,63,5.0,8,-122.23739173395302,38.10310444471479
1065929,2,63,5.0,10,-122.23872703182047,38.11018939471606
1065929,2,63,5.0,11,-122.237362342158,38.10316824029214
1065929,2,63,5.0,17,-122.22990652224168,37.81300168681536
1119016,1,60,6.0,3,-122.15313196483287,37.44364615743428
1119016,1,60,3.0,11,-122.15925371087597,37.44247136350102
1119016,1,60,3.0,12,-122.1533254552662,37.44360334173303
1119016,1,60,2.0,13,-122.16674186863204,37.42617844450768
1119016,1,60,2.0,15,-122.16061377033618,37.446759017181954
1119016,1,60,2.0,15,-122.15360758007043,37.44350446416894
1119016,1,60,5.0,18,-122.15729834113061,37.43779130643661
1119016,1,60,5.0,18,-122.0802906158423,37.415463513826964
1119016,1,60,5.0,20,-122.15331194747057,37.44361651629309
1119016,1,60,5.0,23,-122.15743058513281,37.43745965078762
1119016,1,60,5.0,23,-122.15354355428673,37.44371609284948
1119016,2,50,6.0,3,-122.15353452511458,37.443614007844644
1119016,2,50,5.0,18,-122.15745104373502,37.43782535088314
1119016,2,50,5.0,18,-122.08037016355235,37.41521410765818
1119016,2,50,5.0,20,-122.15334711795491,37.443522106850885
1119016,3,15,6.0,3,-122.1536241921095,37.44381870059005
1119016,3,15,5.0,18,-122.15729091880065,37.43771892628884
1119016,3,15,5.0,23,-122.15338248801059,37.443732215524484
1120849,1,57,6.0,3,-121.80956163753653,37.24982553080708
1120849,1,57,5.0,6,-121.80331139785416,37.23569161017281
1120849,1,57,3.0,12,-121.80310472438599,37.23646847425648
1120849,1,57,3.0,13,-121.80322984133737,37.23580265537594
1120849,1,57,5.0,17,-121.83196670958836,37.23801142004267
1120849,1,57,5.0,18,-121.80919635508492,37.24980852017106
1120849,2,59,6.0,3,-121.80930484106179,37.24954031475081
1120849,2,59,5.0,9,-121.93695913285848,37.351927001701746
1120849,2,59,5.0,16,-121.80960447109355,37.24979320245437
1123025,1,53,6.0,3,-122.22224262471107,37.456172848539595
1123025,1,53,5.0,9,-122.17930486860841,37.4340394928666
1123025,1,53,5.0,9,-122.14175315538762,37.403766799482426
1123025,1,53,5.0,12,-122.11773025485174,37.377792942488036
1123025,1,53,5.0,13,-122.17929133525061,37.43397788995673
1123025,1,53,5.0,18,-122.22220108216098,37.45617146537284
1123025,2,50,6.0,3,-122.22227221590849,37.45595238246069
1123025,2,50,5.0,9,-122.17936145386152,37.434137232924456
1123025,2,50,5.0,18,-122.22216362767199,37.45580037217916
1123731,1,59,6.0,3,-122.18130028565973,37.44407404020375
1123731,1,59,5.0,13,-122.143713329053,37.42748781648429
1123731,1,59,5.0,14,-122.19187717616173,37.398373618966524
1123731,1,59,5.0,15,-122.18404880651059,37.45234285573319
1123731,1,59,5.0,15,-122.18327834372951,37.45167453989673
1123731,1,59,5.0,15,-122.18123125799038,37.44388132536937
1123731,2,60,6.0,3,-122.18130154614406,37.443901623086
1123731,2,60,5.0,9,-122.26378219855383,37.80888261355918
1123731,2,60,3.0,16,-122.27245943181971,37.802998141239314
1123731,2,60,5.0,18,-122.27223577091466,37.80284682561874
1123731,2,60,5.0,21,-122.18131320119144,37.443938535822625
1123731,3,24,6.0,3,-122.18096416016593,37.44393034809995
1123731,3,24,5.0,8,-122.1473016911085,37.42151872164471
1123731,3,24,5.0,12,-122.1506187670385,37.41931013368855
1123731,3,24,5.0,12,-122.14732950202972,37.421359535674085
1123731,3,24,5.0,18,-122.44431076394211,37.78038526796409
1123731,3,24,5.0,18,-122.45718118520064,37.76620778956279
1123731,3,24,5.0,19,-122.42849941823638,37.78647780767812
1123731,3,24,5.0,22,-122.4247727927899,37.78637272452913
1123731,3,24,5.0,24,-122.18091198909633,37.44419475377383
1123731,4,21,6.0,3,-122.18104559038267,37.443884232159164
1123731,4,21,5.0,9,-122.40650617894978,37.78275613256368
