HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1150191,1,43,6.0,3,-119.8376949621878,36.81200557657868
1150191,1,43,5.0,9,-119.797704629611,36.83435484927086
1150191,1,43,5.0,9,-119.83785708566258,36.81186674530874
1150191,1,43,5.0,12,-119.79021325136415,36.83232778268994
1150191,1,43,5.0,12,-119.79024510298142,36.75391751479986
1150191,1,43,5.0,12,-119.7979938595947,36.83445579001702
1150191,1,43,5.0,12,-119.84709652974016,36.83768547235335
1150191,1,43,5.0,13,-119.83793278220524,36.811844436347776
1150191,1,43,5.0,16,-119.79199573784986,36.852694744858475
1150191,1,43,5.0,16,-119.79430298830592,36.851444556445706
1150191,1,43,5.0,17,-119.83762982600713,36.81193385092416
1150191,1,43,5.0,18,-119.82463031105482,36.82324500220553
1150191,1,43,5.0,19,-119.8379844381309,36.811725642924536
1150191,2,41,6.0,3,-119.83780623506213,36.812019499734
1150191,2,41,5.0,16,-119.79194625139472,36.85296819642469
1150191,2,41,5.0,16,-119.7942553649497,36.85098236424813
1150191,2,41,5.0,17,-119.8379567154606,36.812016178102915
1150191,2,41,5.0,18,-119.82471743459222,36.823361192620666
1150191,2,41,5.0,19,-119.83808265160549,36.81204144815113
1150191,3,7,6.0,3,-119.8379211862,36.81202445592956
1150191,3,7,5.0,9,-119.79766011680168,36.83445630373038
1150191,3,7,5.0,12,-119.84673869189031,36.83801703123069
1150191,3,7,5.0,13,-119.83777941791395,36.81192869937011
1150191,3,7,5.0,16,-119.7922914301918,36.85271732911435
1150191,3,7,5.0,16,-119.79394116715787,36.85104651039941
1150191,3,7,5.0,17,-119.83773597131449,36.812127333355235
1150191,3,7,5.0,18,-119.82430013201066,36.822909204502714
1150191,3,7,5.0,19,-119.83770518557012,36.81204504797416
1150191,4,4,6.0,3,-119.83805159493048,36.81215559724584
1150191,4,4,5.0,12,-119.79018004087357,36.83201991137162
1150191,4,4,5.0,12,-119.7902316727284,36.753750527326964
1150191,4,4,5.0,12,-119.79782001221575,36.834635946510794
1150191,4,4,5.0,12,-119.84681664356616,36.83790540805735
1150191,4,4,5.0,13,-119.83771712667856,36.81175642613063
1150191,4,4,5.0,16,-119.79201360466404,36.85291250457198
1150191,4,4,5.0,16,-119.79412125029411,36.851005908844996
1150191,4,4,5.0,17,-119.8380597958325,36.812045995994
1150191,4,4,5.0,18,-119.82450050396275,36.82321162718485
1150191,4,4,5.0,19,-119.83796260312454,36.812044894840994
1449583,1,69,6.0,3,-119.56970440935885,36.716612382540184
1449583,1,69,5.0,8,-119.55434726674999,36.70683210192206
1449583,1,69,5.0,9,-119.57633004941665,36.70455037485185
1449583,1,69,5.0,10,-119.5695189561784,36.716477515355486
1449583,1,69,5.0,18,-119.69782418558543,36.8081048223811
1449583,1,69,5.0,19,-119.56948345763122,36.71637310017662
1449583,2,69,6.0,3,-119.56984939201615,36.71630402054727
1449583,2,69,5.0,7,-119.55887702102905,36.703605836451025
1449583,2,69,5.0,8,-119.57275209721986,36.693614470872376
1449583,2,69,5.0,12,-119.54734248665768,36.70723574883473
1449583,2,69,5.0,13,-119.55903545248083,36.70361054590897
1449583,2,69,5.0,17,-119.56960913434767,36.71642816048144
1449583,2,69,5.0,18,-119.6981146254419,36.808134321511034
1449583,2,69,5.0,19,-119.56981600297564,36.71620454760141
1450952,1,47,6.0,3,-119.71022619092281,36.861162176414076
1450952,1,47,5.0,8,-119.80460095376776,36.85361145549264
1450952,1,47,5.0,19,-119.71020933294946,36.86101515117153
1458911,1,50,6.0,3,-119.59209498723806,36.98291124995051
1458911,2,70,6.0,3,-119.59208643841215,36.98283231029952
