HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1034878,1,73,6.000,3,-118.408,34.017
1034878,1,73,5.000,13,-118.137,33.855
1034878,1,73,3.000,14,-118.137,33.858
1034878,1,73,3.000,14,-118.138,33.855
1034878,1,73,5.000,17,-118.094,33.841
1034878,1,73,5.000,19,-118.137,33.856
1041305,1,55,6.000,3,-118.138,33.845
1041305,1,55,5.000,6,-118.122,33.839
1041305,1,55,5.000,7,-118.138,33.846
1041305,1,55,5.000,18,-117.916,33.645
1041305,1,55,5.000,22,-118.138,33.845
1041305,2,58,6.000,3,-118.138,33.845
1041305,2,58,5.000,8,-118.116,33.833
1041305,2,58,5.000,17,-118.138,33.845
1041305,3,17,6.000,3,-118.138,33.846
1041305,3,17,5.000,6,-118.123,33.839
1041305,3,17,2.000,15,-118.139,33.845
1048730,1,40,6.000,3,-117.374,34.083
1048730,2,42,6.000,3,-117.374,34.083
1048730,3,19,6.000,3,-117.374,34.084
1048730,4,17,6.000,3,-117.374,34.083
1048730,5,11,6.000,3,-117.375,34.084
1048730,6,7,6.000,3,-117.375,34.083
1048730,7,5,6.000,3,-117.375,34.084
1048730,8,20,6.000,3,-117.374,34.084
1048730,8,20,5.000,11,-117.575,34.084
1048730,8,20,5.000,20,-117.375,34.084
1050315,1,84,6.000,3,-116.433,33.917
1050315,1,84,5.000,9,-116.477,33.848
1050315,1,84,5.000,13,-116.385,33.800
1050315,1,84,5.000,15,-116.433,33.917
1050315,2,72,6.000,3,-116.433,33.917
1056450,1,57,6.000,3,-111.890,40.762
1056450,2,57,6.000,3,-111.890,40.761
1067881,1,43,6.000,3,-118.395,34.184
1067881,1,43,1.000,10,-118.255,34.040
1067881,1,43,1.000,15,-118.396,34.184
1067881,1,43,1.000,17,-118.311,34.184
1067881,1,43,1.000,20,-118.395,34.184
1067881,2,52,6.000,3,-118.395,34.184
1067881,2,52,5.000,9,-118.207,34.027
1067881,2,52,5.000,16,-118.396,34.184
1067881,2,52,5.000,16,-118.383,34.200
1067881,2,52,5.000,19,-118.395,34.184
1067881,2,52,5.000,20,-118.343,34.152
1067881,2,52,5.000,21,-118.396,34.184
1067881,3,21,6.000,3,-118.396,34.184
1067881,3,21,5.000,7,-117.233,32.878
1067881,3,21,5.000,14,-118.395,34.184
1067881,3,21,1.000,17,-118.312,34.184
1067881,3,21,1.000,20,-118.395,34.184
1097586,1,43,6.000,3,-118.347,33.968
1097586,1,43,1.000,10,-118.092,33.918
1097586,1,43,1.000,20,-118.348,33.968
1119231,1,48,6.000,3,-117.107,33.497
1119231,1,48,5.000,17,-117.104,33.515
1119231,1,48,5.000,17,-117.107,33.497
1119231,1,48,5.000,18,-117.099,33.499
1119231,1,48,5.000,18,-117.117,33.504
1119231,1,48,5.000,18,-117.107,33.498
1119231,1,48,5.000,19,-117.117,33.504
1119231,1,48,5.000,20,-117.107,33.498
1119231,2,57,6.000,3,-117.107,33.497
1119231,2,57,5.000,8,-117.138,32.777
1119231,2,57,5.000,10,-117.075,33.002
1119231,2,57,5.000,13,-117.107,33.497
1119231,2,57,5.000,17,-117.103,33.514
1119231,2,57,5.000,17,-117.107,33.498
1119231,3,17,6.000,3,-117.107,33.497
1119231,3,17,1.000,7,-117.117,33.503
1119231,3,17,1.000,16,-117.107,33.497
1119231,3,17,5.000,18,-117.100,33.499
1119231,3,17,5.000,18,-117.117,33.504
1119231,3,17,5.000,20,-117.107,33.498
1119891,1,60,6.000,3,-118.268,34.153
1119891,1,60,5.000,7,-118.258,34.131
1119891,1,60,5.000,9,-118.300,34.159
1119891,1,60,5.000,15,-118.299,34.175
1119891,1,60,5.000,15,-118.258,34.153
1119891,1,60,5.000,16,-118.268,34.153
1120368,1,64,6.000,3,-118.459,34.202
1120368,1,64,5.000,8,-118.475,34.172
1120368,1,64,5.000,9,-118.458,34.202
1122119,1,46,6.000,3,-117.358,34.087
1122119,1,46,5.000,7,-117.357,34.086
1122119,1,46,5.000,8,-117.352,34.081
1122119,1,46,5.000,9,-117.358,34.087
1122119,1,46,5.000,15,-117.356,34.109
1122119,1,46,5.000,16,-117.358,34.087
1122119,2,20,6.000,3,-117.358,34.087
1122119,2,20,3.000,16,-117.370,34.086
1122119,2,20,5.000,22,-117.359,34.087
1122119,3,44,6.000,3,-117.358,34.087
1122119,3,44,5.000,7,-117.560,34.051
1122119,3,44,5.000,11,-117.205,34.233
1122119,3,44,5.000,13,-117.356,34.108
1122119,3,44,5.000,15,-117.356,34.109
1122119,3,44,5.000,18,-117.492,33.896
1122119,3,44,5.000,19,-117.359,34.087
1122969,1,59,6.000,3,-117.934,33.739
1122981,1,83,6.000,3,-117.777,33.844
1122981,2,81,6.000,3,-117.778,33.843
1123992,1,73,6.000,3,-117.936,33.844
1123992,1,73,5.000,12,-117.953,33.696
1123992,1,73,5.000,16,-117.937,33.843
1124420,1,78,6.000,3,-118.222,33.866
1124420,1,78,5.000,18,-118.219,33.865
1124420,1,78,5.000,22,-118.222,33.867
1124420,2,21,6.000,3,-118.222,33.867
1124420,2,21,5.000,8,-118.217,33.876
1124420,2,21,5.000,13,-118.222,33.867
1127124,1,85,6.000,3,-117.991,34.068
1127124,1,85,5.000,11,-117.965,34.086
1127124,1,85,5.000,12,-117.991,34.069
1127124,2,80,6.000,3,-117.991,34.068
1127124,3,17,6.000,3,-117.963,34.045
1127124,4,16,6.000,3,-117.992,34.068
1128023,1,31,6.000,3,-117.919,33.662
1128023,1,31,5.000,7,-117.901,33.671
1128023,1,31,5.000,7,-117.848,33.637
1128023,1,31,5.000,17,-117.901,33.671
1128023,1,31,5.000,17,-117.918,33.662
1128023,2,9,6.000,3,-117.918,33.661
1128023,2,9,5.000,7,-117.900,33.670
1128023,2,9,5.000,17,-117.918,33.662
1128614,1,56,6.000,3,-118.465,33.992
1128614,1,56,1.000,4,-118.384,34.033
1128614,1,56,1.000,8,-118.377,34.075
1128614,1,56,1.000,21,-118.465,33.993
1129093,1,45,6.000,3,-116.193,33.694
1129093,1,45,5.000,10,-116.392,33.724
1129093,1,45,5.000,17,-116.245,33.693
1129093,1,45,5.000,18,-116.193,33.694
1129093,1,45,5.000,18,-116.233,33.716
1129093,1,45,5.000,19,-116.193,33.694
1129093,2,48,6.000,3,-116.193,33.694
1129093,2,48,5.000,10,-116.393,33.724
1129093,2,48,5.000,17,-116.244,33.694
1129093,2,48,5.000,18,-116.193,33.694
1129093,2,48,5.000,18,-116.233,33.716
1129093,2,48,5.000,19,-116.193,33.694
1129093,3,18,6.000,3,-116.193,33.694
1129093,3,18,5.000,10,-116.393,33.724
1129093,3,18,5.000,17,-116.245,33.694
1129093,3,18,5.000,18,-116.193,33.694
1129093,3,18,5.000,19,-117.270,34.071
1129093,3,18,5.000,24,-116.193,33.694
1129093,4,14,6.000,3,-116.193,33.694
1129093,4,14,5.000,10,-116.393,33.724
1129093,4,14,5.000,17,-116.244,33.693
1129093,4,14,5.000,18,-116.193,33.694
1129093,4,14,5.000,18,-116.233,33.717
1129093,4,14,5.000,19,-116.193,33.694
1129093,5,7,6.000,3,-116.193,33.694
1129093,5,7,5.000,10,-116.392,33.724
1129093,5,7,5.000,17,-116.245,33.693
1129093,5,7,5.000,18,-116.193,33.694
1129093,5,7,5.000,18,-116.233,33.717
1129093,5,7,5.000,19,-116.193,33.694
1129163,1,52,6.000,3,-118.364,34.041
1129163,1,52,5.000,7,-118.377,34.045
1129163,1,52,5.000,7,-118.354,34.063
1129163,1,52,5.000,16,-118.377,34.046
1129163,1,52,5.000,17,-118.364,34.041
1129163,1,52,5.000,18,-118.394,33.991
1129163,1,52,5.000,20,-118.384,34.051
1129163,1,52,5.000,22,-118.364,34.041
1129163,2,13,6.000,3,-118.364,34.041
1129163,2,13,5.000,7,-118.377,34.045
1129163,2,13,5.000,17,-118.364,34.041
1129163,2,13,5.000,18,-118.395,33.991
1129163,2,13,5.000,20,-118.384,34.051
1129163,2,13,5.000,22,-118.364,34.041
1129234,1,72,6.000,3,-118.349,33.818
1129234,2,52,6.000,3,-118.348,33.818
1129234,2,52,5.000,20,-118.352,33.831
1129234,2,52,5.000,21,-118.353,33.825
1129234,2,52,5.000,22,-118.349,33.818
1129322,1,61,6.000,3,-118.539,34.378
1129322,1,61,1.000,9,-118.546,34.380
1129322,1,61,1.000,10,-118.538,34.377
1129322,1,61,1.000,13,-118.551,34.401
1129322,1,61,1.000,15,-118.538,34.377
1129788,1,55,6.000,3,-117.940,33.760
1129788,1,55,5.000,9,-117.967,33.749
1129788,1,55,5.000,18,-117.940,33.760
1129788,2,18,6.000,3,-117.940,33.760
1130387,1,81,6.000,3,-118.455,33.971
1130387,1,81,3.000,11,-118.455,33.971
1130387,1,81,5.000,13,-118.440,33.980
1130387,1,81,3.000,14,-118.440,33.981
1130387,1,81,5.000,14,-118.455,33.971
1130387,1,81,3.000,17,-118.455,33.971
1131510,1,49,6.000,3,-118.277,33.936
1131510,1,49,3.000,9,-118.265,33.944
1131510,1,49,3.000,10,-118.277,33.937
1131510,2,48,6.000,3,-118.277,33.937
1131510,2,48,5.000,7,-118.205,34.017
1131510,2,48,5.000,17,-118.277,33.937
1131613,1,45,6.000,3,-117.315,34.481
1131613,1,45,5.000,15,-117.531,34.070
1131613,2,40,6.000,3,-117.314,34.481
1131613,2,40,5.000,8,-117.290,34.478
1131613,2,40,5.000,8,-117.314,34.480
1131613,2,40,5.000,14,-117.290,34.478
1131613,2,40,5.000,14,-117.315,34.480
1131613,3,20,6.000,3,-117.315,34.481
1131613,3,20,5.000,16,-117.338,34.471
1131613,3,20,5.000,22,-117.315,34.481
1131613,4,12,6.000,3,-117.315,34.481
1131613,4,12,1.000,8,-117.309,34.530
1131613,4,12,1.000,15,-117.315,34.481
1131613,5,8,6.000,3,-117.315,34.481
1131613,5,8,5.000,8,-117.290,34.478
1131613,5,8,5.000,14,-117.314,34.481
1131613,6,5,6.000,3,-117.315,34.481
1131613,6,5,5.000,8,-117.290,34.479
1131613,6,5,5.000,14,-117.315,34.481
1132630,1,52,6.000,3,-118.209,34.672
1132630,1,52,5.000,13,-118.145,34.609
1132630,1,52,5.000,13,-118.209,34.672
1132630,1,52,5.000,20,-118.145,34.609
1132630,1,52,5.000,21,-118.209,34.671
1132630,2,64,6.000,3,-118.209,34.671
1132630,2,64,5.000,13,-118.145,34.609
1132630,2,64,5.000,21,-118.210,34.672
1132630,3,22,6.000,3,-118.209,34.672
1132820,1,60,6.000,3,-121.964,36.968
1132820,1,60,5.000,15,-119.049,34.217
1132820,2,83,6.000,3,-119.049,34.218
1136903,1,30,6.000,3,-119.242,34.274
1136903,2,30,6.000,3,-119.243,34.274
1136903,2,30,5.000,8,-119.158,34.294
1136903,2,30,5.000,17,-119.243,34.274
1137233,1,64,6.000,3,-117.972,33.933
1137233,1,64,5.000,9,-117.995,33.913
1137233,1,64,5.000,10,-117.971,33.933
1137920,1,63,6.000,3,-117.262,34.141
1138385,1,60,6.000,3,-118.339,34.038
1138385,1,60,5.000,10,-118.423,33.998
1138385,1,60,5.000,12,-118.339,34.037
1138385,2,42,6.000,3,-118.338,34.037
1138385,2,42,5.000,8,-118.309,33.941
1138385,2,42,5.000,11,-118.338,34.037
1138646,1,42,6.000,3,-118.340,34.194
1138646,1,42,1.000,7,-118.265,34.138
1138646,1,42,1.000,10,-118.237,34.058
1138646,1,42,1.000,13,-118.340,34.193
1138646,2,67,6.000,3,-118.341,34.194
1138646,2,67,5.000,11,-118.232,34.151
1138646,2,67,5.000,13,-118.258,34.158
1138646,2,67,5.000,15,-118.315,34.185
1138646,2,67,5.000,16,-118.341,34.193
1142890,1,73,6.000,3,-117.878,34.004
1142890,1,73,5.000,7,-117.886,33.982
1142890,1,73,5.000,8,-117.879,34.003
1142890,2,48,6.000,3,-117.879,34.004
1142890,2,48,5.000,7,-117.786,34.061
1142890,2,48,5.000,8,-117.851,34.043
1142890,2,48,5.000,9,-117.878,34.003
1142890,2,48,5.000,14,-117.886,33.982
1142890,2,48,5.000,15,-117.803,34.024
1142890,2,48,5.000,16,-117.878,34.003
1142890,3,9,6.000,3,-117.878,34.004
1142890,3,9,5.000,7,-117.887,33.982
1142890,3,9,1.000,8,-117.901,33.981
1142890,3,9,1.000,14,-117.887,33.982
1142890,3,9,5.000,15,-117.803,34.025
1142890,3,9,5.000,16,-117.879,34.004
1143455,1,66,6.000,3,-118.540,34.174
1143455,1,66,5.000,8,-118.451,34.053
1143455,1,66,5.000,12,-118.539,34.174
1144043,1,53,6.000,3,-118.530,34.222
1144963,1,60,6.000,3,-115.577,32.854
1144963,1,60,5.000,14,-115.569,32.848
1144963,1,60,5.000,14,-115.576,32.855
1144963,2,16,6.000,3,-115.576,32.855
1144963,2,16,5.000,14,-115.572,32.848
1144963,2,16,5.000,14,-115.576,32.855
1145173,1,78,6.000,3,-117.322,34.040
1145173,2,82,6.000,3,-117.322,34.039
1145192,1,54,6.000,3,-118.196,33.776
1145192,1,54,5.000,15,-118.198,33.767
1145192,1,54,5.000,17,-118.190,33.773
1145192,1,54,5.000,17,-118.196,33.776
1148941,1,56,6.000,3,-118.105,34.055
1148941,1,56,3.000,11,-118.112,34.053
1148941,1,56,3.000,14,-118.106,34.054
1148941,2,59,6.000,3,-118.105,34.055
1148941,3,51,6.000,3,-118.106,34.055
1148941,4,32,6.000,3,-118.105,34.054
1148941,4,32,5.000,13,-118.123,34.063
1148941,4,32,5.000,13,-118.144,34.040
1148941,4,32,5.000,14,-118.105,34.054
1148941,4,32,5.000,16,-118.082,34.051
1148941,4,32,5.000,19,-118.106,34.054
1148941,5,30,6.000,3,-118.105,34.055
1150880,1,56,6.000,3,-118.362,33.856
1150880,1,56,5.000,12,-118.384,33.833
1150880,1,56,5.000,13,-118.385,33.822
1150880,1,56,5.000,14,-118.362,33.857
1151032,1,70,6.000,3,-116.199,33.657
1151737,1,78,6.000,3,-117.026,33.720
1151737,2,49,6.000,3,-117.026,33.720
1152087,1,66,6.000,3,-118.364,34.194
1152087,1,66,5.000,10,-118.385,34.184
1152087,1,66,5.000,11,-118.387,34.187
1152087,1,66,5.000,11,-118.365,34.194
1152087,1,66,5.000,15,-118.347,34.152
1152087,1,66,5.000,16,-118.226,34.082
1152087,1,66,5.000,17,-118.266,34.117
1152087,1,66,5.000,20,-118.365,34.194
1153402,1,57,6.000,3,-118.280,33.893
1153402,1,57,5.000,7,-118.293,33.897
1153402,1,57,5.000,8,-118.280,33.893
1153402,1,57,5.000,11,-118.293,33.897
1153402,1,57,5.000,11,-118.291,33.897
1153402,1,57,5.000,14,-118.280,33.892
1153402,2,84,6.000,3,-118.281,33.892
1153402,3,5,6.000,3,-118.280,33.892
1153402,3,5,5.000,7,-118.293,33.897
1153402,3,5,5.000,11,-118.291,33.897
1153402,3,5,5.000,14,-118.280,33.892
1154155,1,64,6.000,3,-117.816,33.752
1154155,1,64,5.000,11,-117.822,33.760
1154155,1,64,5.000,12,-117.816,33.752
1154155,2,65,6.000,3,-117.816,33.751
1154155,2,65,5.000,11,-117.811,33.749
1154155,2,65,5.000,11,-117.816,33.751
1154180,1,49,6.000,3,-117.635,33.475
1154180,1,49,5.000,9,-117.607,33.449
1154180,1,49,5.000,10,-117.626,33.468
1154180,1,49,5.000,13,-117.635,33.475
1154180,1,49,5.000,15,-117.675,33.595
1154180,1,49,5.000,18,-117.635,33.475
1154180,1,49,5.000,18,-117.606,33.464
1154180,1,49,5.000,21,-117.636,33.474
1154180,2,58,6.000,3,-117.635,33.475
1154180,3,16,6.000,3,-117.636,33.475
1154180,3,16,5.000,7,-117.616,33.440
1154180,3,16,5.000,15,-117.635,33.475
1154180,3,16,5.000,18,-117.606,33.464
1154180,3,16,5.000,21,-117.636,33.474
1154598,1,42,6.000,3,-118.212,34.643
1154598,1,42,5.000,7,-118.147,34.680
1154598,1,42,5.000,8,-118.148,34.613
1154598,1,42,5.000,9,-118.085,34.580
1154598,1,42,5.000,9,-118.085,34.580
1154598,1,42,5.000,9,-118.127,34.580
1154598,1,42,5.000,10,-118.183,34.704
1154598,1,42,5.000,13,-118.211,34.643
1154598,1,42,5.000,18,-118.146,34.680
1154598,1,42,5.000,19,-118.212,34.643
1154598,2,36,6.000,3,-118.211,34.643
1154598,2,36,5.000,7,-118.146,34.680
1154598,2,36,1.000,19,-118.158,34.687
1154997,1,61,6.000,3,-118.109,34.158
1155234,1,48,6.000,3,-117.581,34.142
1155234,1,48,5.000,7,-117.512,34.145
1155234,1,48,5.000,15,-117.877,33.927
1155234,1,48,5.000,17,-117.593,34.133
1155234,1,48,5.000,17,-117.582,34.141
1155234,1,48,5.000,18,-117.600,34.122
1155234,1,48,5.000,20,-117.642,34.132
1155234,1,48,5.000,20,-117.581,34.141
1155234,2,17,6.000,3,-117.581,34.141
1155234,2,17,5.000,7,-117.555,34.146
1155234,2,17,5.000,15,-117.581,34.141
1155234,2,17,5.000,16,-117.480,34.163
1155234,2,17,5.000,17,-117.582,34.141
1156609,1,64,6.000,3,-116.997,34.884
1156609,1,64,5.000,9,-117.023,34.894
1156609,1,64,5.000,10,-117.035,34.895
1156609,1,64,5.000,15,-116.998,34.884
1157167,1,21,6.000,3,-117.877,33.699
1157167,1,21,5.000,12,-117.851,33.788
1157167,1,21,5.000,13,-117.887,33.681
1157167,1,21,5.000,13,-117.895,33.677
1157167,1,21,5.000,14,-117.902,33.704
1157167,1,21,5.000,15,-117.877,33.698
1158110,1,78,6.000,3,-115.172,36.115
