HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
681,2799,46,6,0,-99.0258,19.5826
681,2799,46,8,9,-99.1867,19.3911
681,2799,46,1,16,-99.024,19.5764
783,2664,73,6,0,-99.0313,19.5347
783,2664,73,2,11,-99.0319,19.5324
783,2664,73,2,14,-99.0317,19.533
783,2665,27,6,0,-99.029,19.533
783,2665,27,5,6,-99.0419,19.5131
783,2665,27,5,8,-99.028,19.5329
783,2665,27,5,10,-99.1498,19.4408
783,2665,27,5,21,-99.0308,19.5334
797,2716,28,6,0,-99.0309,19.5327
797,2716,28,7,8,-99.1802,19.4624
797,2716,28,7,20,-99.0305,19.5327
797,2717,25,6,0,-99.0322,19.5329
797,2717,25,7,7,-99.0388,19.5492
797,2717,25,7,12,-99.0304,19.5306
797,2718,27,6,0,-99.0313,19.5347
797,2718,27,5,5,-99.2119,19.429
797,2718,27,5,11,-99.0325,19.532
805,2754,39,6,0,-99.0292,19.5319
805,2754,39,1,9,-99.147,19.4384
813,2788,63,6,0,-99.0339,19.5261
813,2788,63,1,8,-99.1842,19.3963
813,2788,63,1,21,-99.0372,19.5228
821,2809,70,6,0,-99.0355,19.5232
821,2809,70,8,12,-99.1281,19.4956
821,2809,70,8,18,-99.0319,19.5278
829,2839,54,6,0,-99.0337,19.5246
829,2839,54,5,6,-99.0787,19.4338
829,2839,54,5,15,-99.0353,19.5224
829,2840,56,6,0,-99.0321,19.5245
829,2840,56,1,8,-99.0937,19.4176
829,2840,56,1,21,-99.0332,19.5222
829,2841,25,6,0,-99.0343,19.5237
829,2841,25,8,9,-99.1707,19.3992
829,2841,25,8,20,-99.0347,19.5228
844,2892,50,6,0,-99.0264,19.5839
844,2892,50,8,10,-99.3341,19.3534
844,2892,50,8,19,-99.0229,19.5769
844,2893,30,6,0,-99.0264,19.5842
844,2893,30,8,12,-99.0473,19.5259
844,2893,30,8,15,-99.0275,19.5292
844,2893,30,7,18,-99.0248,19.5779
868,3015,47,6,0,-99.0248,19.5746
868,3015,47,8,8,-99.1465,19.4396
868,3015,47,1,22,-99.0236,19.5758
880,3043,40,6,0,-99.0304,19.5343
880,3043,40,8,9,-99.1766,19.4475
880,3043,40,8,17,-99.0299,19.5328
890,3104,67,6,0,-99.028,19.5714
890,3104,67,7,8,-98.916,19.5467
890,3104,67,7,18,-99.0283,19.5727
890,3105,43,6,0,-99.0289,19.5727
890,3105,43,7,9,-99.0889,19.572
890,3105,43,7,9,-99.0281,19.5726
890,3106,38,6,0,-99.0253,19.5699
890,3106,38,7,9,-99.0153,19.5354
890,3106,38,7,23,-99.0262,19.5723
898,3124,37,6,0,-99.0616,19.6558
898,3124,37,7,6,-99.156,19.4881
898,3124,37,8,16,-99.0642,19.6549
898,3124,37,9,21,-99.1741,19.5974
898,3124,37,9,22,-99.0661,19.6558
898,3125,34,6,0,-99.0648,19.6565
898,3125,34,7,10,-99.1767,19.5979
898,3125,34,9,12,-99.0648,19.6552
898,3126,15,6,0,-99.0624,19.6584
898,3126,15,7,15,-99.0826,19.5488
898,3126,15,7,19,-99.066,19.6536
912,3192,46,6,0,-99.0674,19.6577
912,3192,46,7,21,-99.0839,19.5142
912,3192,46,8,7,-99.064,19.6577
919,3220,36,6,0,-99.0653,19.6586
919,3220,36,5,6,-99.0924,19.6523
919,3220,36,5,18,-99.0664,19.6569
929,3254,69,6,0,-99.0626,19.655
929,3254,69,8,5,-99.1621,19.3629
929,3254,69,8,21,-99.067,19.6561
929,3255,38,6,0,-99.0676,19.6561
929,3255,38,7,5,-99.2441,19.5038
929,3255,38,7,11,-99.0972,19.6446
929,3255,38,7,14,-99.065,19.657
929,3256,64,6,0,-99.0661,19.6551
929,3256,64,7,5,-99.2404,19.5045
929,3256,64,7,11,-99.1,19.638
929,3256,64,7,10,-99.0638,19.6547
935,3282,70,6,0,-99.0274,19.5726
935,3282,70,8,10,-99.1317,19.4831
935,3282,70,8,14,-99.0253,19.5709
935,3283,30,6,0,-99.0255,19.5719
935,3283,30,7,13,-99.0195,19.5156
935,3283,30,7,19,-99.0252,19.5712
935,3283,30,7,20,-99.0364,19.6033
935,3283,30,7,21,-99.0278,19.5721
935,3284,28,6,0,-99.0272,19.5713
935,3284,28,8,9,-99.1372,19.4304
935,3284,28,1,12,-99.0269,19.5291
935,3284,28,1,16,-99.0257,19.5704
951,3345,36,6,0,-99.0721,19.6509
951,3345,36,7,7,-98.9686,19.7072
951,3345,36,7,22,-99.0696,19.6494
951,3346,32,6,0,-99.073,19.6497
951,3346,32,7,9,-99.0511,19.5991
951,3346,32,7,14,-99.0717,19.6545
955,3365,35,6,0,-99.0259,19.5702
955,3365,35,8,7,-99.235,19.322
955,3365,35,8,16,-99.0292,19.5727
969,3427,61,6,0,-99.0714,19.6503
969,3427,61,8,8,-99.1588,19.434
969,3427,61,1,18,-99.1246,19.4259
969,3427,61,8,20,-99.0715,19.6555
969,3428,47,6,0,-99.0727,19.6504
969,3428,47,8,14,-99.1374,19.4435
969,3428,47,8,25,-99.0711,19.6518
971,3440,59,6,0,-99.0268,19.5707
971,3440,59,8,6,-99.1388,19.4242
971,3440,59,8,15,-99.0174,19.5581
971,3440,59,7,18,-99.0263,19.5694
971,3441,52,6,0,-99.028,19.5722
971,3441,52,7,10,-99.0214,19.5611
971,3441,52,7,12,-99.0263,19.5718
971,3442,33,6,0,-99.0263,19.5693
971,3442,33,8,8,-99.1344,19.4231
971,3442,33,8,21,-99.0283,19.5705
971,3443,28,6,0,-99.0264,19.5686
971,3443,28,8,9,-99.1443,19.4046
