HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
18,67,21,6,0,-99.154,19.313
18,67,21,8,12,-99.155,19.368
18,67,21,8,12,-99.154,19.314
35,139,35,6,0,-99.191,19.436
35,139,35,1,8,-99.107,19.302
35,139,35,8,13,-99.190,19.434
35,139,35,7,14,-99.156,19.425
35,139,35,1,18,-99.189,19.437
38,142,76,6,0,-99.205,19.402
38,142,76,9,8,-99.181,19.397
38,142,76,9,12,-99.204,19.404
45,156,31,6,0,-99.185,19.410
45,156,31,7,12,-99.253,19.399
45,156,31,9,24,-99.185,19.410
57,199,59,6,0,-99.203,19.446
57,199,59,7,9,-99.157,19.436
57,199,59,7,12,-99.205,19.444
57,200,54,6,0,-99.205,19.441
57,200,54,7,9,-99.153,19.436
57,200,54,7,12,-99.203,19.443
57,201,17,6,0,-99.207,19.440
57,201,17,7,10,-99.180,19.410
57,201,17,1,12,-99.144,19.396
57,201,17,8,20,-99.202,19.438
59,206,39,6,0,-99.186,19.407
59,206,39,8,6,-99.211,19.419
59,206,39,7,22,-99.188,19.410
68,232,41,6,0,-99.208,19.403
68,232,41,8,13,-99.124,19.438
68,232,41,8,17,-99.207,19.401
68,233,40,6,0,-99.206,19.403
68,233,40,8,11,-99.203,19.429
68,233,40,8,19,-99.203,19.403
68,234,17,6,0,-99.204,19.404
68,234,17,1,14,-99.295,19.359
68,234,17,1,21,-99.208,19.401
95,306,74,6,0,-99.133,19.351
95,306,74,5,12,-99.147,19.348
95,306,74,1,13,-99.137,19.437
95,306,74,1,17,-99.147,19.346
95,306,74,5,17,-99.134,19.354
95,307,64,6,0,-99.133,19.352
95,307,64,5,12,-99.139,19.343
95,307,64,1,13,-99.137,19.436
95,307,64,1,17,-99.147,19.347
95,307,64,5,17,-99.133,19.351
99,313,47,6,0,-99.182,19.412
99,313,47,1,6,-99.190,19.380
99,313,47,1,15,-99.188,19.413
118,381,31,6,0,-99.204,19.404
118,381,31,8,8,-99.173,19.409
118,381,31,8,19,-99.203,19.405
122,407,63,6,0,-99.185,19.382
122,407,63,1,16,-99.124,19.428
122,407,63,1,19,-99.186,19.384
122,408,58,6,0,-99.188,19.384
122,408,58,1,16,-99.124,19.425
122,408,58,1,19,-99.185,19.381
122,409,23,6,0,-99.184,19.384
122,409,23,7,11,-99.268,19.358
122,409,23,7,21,-99.187,19.384
150,496,65,6,0,-99.195,19.405
150,496,65,8,12,-99.168,19.401
150,496,65,5,17,-99.170,19.410
150,496,65,5,18,-99.179,19.379
150,496,65,5,22,-99.192,19.405
150,497,35,6,0,-99.197,19.407
150,497,35,5,7,-99.188,19.431
150,497,35,5,9,-99.186,19.434
150,497,35,5,15,-99.198,19.436
150,497,35,5,17,-99.186,19.433
150,497,35,5,19,-99.197,19.406
166,559,46,6,0,-99.193,19.404
166,559,46,1,6,-99.153,19.423
166,559,46,5,9,-98.997,19.388
166,559,46,1,12,-99.124,19.427
166,559,46,8,13,-99.197,19.405
166,560,45,6,0,-99.194,19.405
166,560,45,1,6,-99.069,19.378
166,560,45,1,9,-99.203,19.402
166,560,45,1,12,-99.166,19.398
166,560,45,1,13,-99.195,19.407
166,561,26,6,0,-99.196,19.405
166,561,26,7,8,-99.235,19.453
166,561,26,7,16,-99.192,19.404
166,599,14,6,0,-99.193,19.405
166,599,14,1,6,-99.066,19.379
166,599,14,1,15,-99.197,19.406
176,592,40,6,0,-99.064,19.416
176,592,40,5,7,-99.037,19.392
176,592,40,5,10,-99.060,19.416
176,592,40,5,11,-99.125,19.436
176,592,40,5,17,-99.062,19.416
176,593,26,6,0,-99.064,19.418
