HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1088859,1,76,6.0,3,-121.85462203563206,36.606615312767346
1088859,1,76,5.0,14,-121.84275959670434,36.609569198908154
1088859,1,76,5.0,14,-121.84158024659982,36.61587542629635
1088859,1,76,5.0,14,-121.81820734371234,36.62171384414035
1088859,1,76,5.0,14,-121.84495706165613,36.619118190571804
1088859,1,76,5.0,15,-121.85464227195882,36.60659057834903
1088859,2,51,6.0,3,-121.85448029447335,36.606683136168805
1088859,2,51,5.0,14,-121.84257717845274,36.60915381888501
1088859,2,51,5.0,14,-121.84171976935603,36.61620958661706
1088859,2,51,5.0,14,-121.8181324653954,36.621615753819704
1088859,2,51,5.0,14,-121.84504071088224,36.6189416513241
1088859,2,51,5.0,15,-121.85436911586363,36.60697140242915
1088859,3,14,6.0,3,-121.85458324569173,36.60695983064125
1088859,3,14,1.0,7,-121.90170931405093,36.596639865033545
1088859,3,14,1.0,15,-121.85462200454654,36.60697692891012
1090920,1,64,6.0,3,-122.00363367755311,36.9841373127806
1090920,1,64,5.0,6,-122.03474786037528,36.98736928380563
1090920,1,64,5.0,16,-122.00398236582109,36.98406871560836
1119842,1,62,6.0,3,-121.84940660727088,36.938063875594416
1119842,1,62,5.0,15,-122.64133549518874,38.24080946754666
1119842,1,62,5.0,15,-122.63434966189524,38.24147403844228
1119842,1,62,5.0,17,-122.29262973840319,37.83355952227206
1119842,1,62,5.0,18,-122.2924708502427,37.83123163755355
1119842,1,62,5.0,21,-121.95598525193441,36.9810627853733
1119842,1,62,5.0,22,-121.84956788571508,36.9378769748979
1119842,2,60,6.0,3,-121.84958981981273,36.93814323431387
1123009,1,84,6.0,3,-121.87435003038414,36.95590717019478
1123009,1,84,5.0,14,-121.90614817559559,36.97827030916495
1123009,1,84,5.0,15,-121.8746115260002,36.95631915828129
1127460,1,64,6.0,3,-121.79013901175419,36.96217879998915
1127460,2,69,6.0,3,-121.7905300216606,36.962010170390585
1132249,1,61,6.0,3,-122.03965458202404,36.9549157372537
1132249,1,61,2.0,16,-122.01833769636013,36.96445362655825
1132249,1,61,2.0,17,-122.04453729860639,36.96138652206276
1132249,1,61,2.0,17,-122.039196452522,36.954834362957925
1139781,1,62,6.0,3,-122.08129112775927,37.04167916938674
1139864,1,59,6.0,3,-122.0211109726974,36.98730669829719
1144458,1,66,6.0,3,-121.3689452457803,36.833522990009236
1144458,1,66,5.0,7,-121.37331199341182,36.82979542020413
1144458,1,66,5.0,7,-121.36902132759086,36.83363321510657
1144458,1,66,5.0,14,-121.58139967259724,36.9988086541024
1144458,1,66,5.0,15,-121.80677971268233,37.30391262225463
1144458,1,66,5.0,19,-121.58142463030022,36.99855782535359
1144458,1,66,5.0,20,-121.40064966996269,36.859404117502514
1144458,1,66,5.0,20,-121.39066713865596,36.837412353708274
1144458,1,66,5.0,20,-121.36911609221973,36.83392837208333
1144458,2,36,6.0,3,-121.36906696742271,36.833951773655414
1144458,2,36,3.0,14,-121.37197040532503,36.82967606627038
1144458,2,36,3.0,14,-121.36904718839794,36.83365527160803
1144458,2,36,1.0,17,-121.40048874660185,36.85963274345305
1144458,2,36,5.0,20,-121.39089010292075,36.83763160492897
1144458,2,36,5.0,20,-121.36915145669053,36.83359281195529
1144458,3,11,6.0,3,-121.36914231463197,36.83359834982542
1144458,3,11,5.0,7,-121.37331069913807,36.829551202895054
1144458,3,11,3.0,15,-121.36910589224289,36.833564364505875
1144458,3,11,1.0,17,-121.40037517173174,36.859741051611216
1144458,3,11,5.0,20,-121.39052612751361,36.837538912914525
1144458,3,11,5.0,20,-121.368926723319,36.83390614489038
1144458,4,10,6.0,3,-121.3691541288901,36.83352428705582
1144458,4,10,5.0,7,-121.37303775557868,36.82978527504923
1144458,4,10,3.0,14,-121.36904669366231,36.83351892981343
1144458,4,10,1.0,17,-121.40047670170463,36.85942063280607
1144458,4,10,5.0,20,-121.39090244067941,36.83735314130058
1144458,4,10,5.0,20,-121.36910584340296,36.83365775401319
1144458,5,8,6.0,3,-121.36928660055908,36.83385204041232
1144458,5,8,5.0,7,-121.37315478960821,36.82959740738273
1144458,5,8,3.0,14,-121.36907469007726,36.83389970989861
1144458,5,8,1.0,17,-121.4001765289541,36.859490438030186
1144458,5,8,5.0,20,-121.39054644154753,36.837469192477954
1144458,5,8,5.0,20,-121.36928020408163,36.833572875266334
1144458,6,3,6.0,3,-121.36906247225335,36.833743396024175
1144458,6,3,3.0,14,-121.3724155596294,36.82950434912846
1144458,6,3,3.0,14,-121.36921581099594,36.833475618156726
1144458,6,3,1.0,17,-121.40058148706883,36.859340594318574
1144458,6,3,5.0,20,-121.39051045292587,36.83768866438354
1144458,6,3,5.0,20,-121.36923981019973,36.83372383919997
1145705,1,57,6.0,3,-121.95697040024277,36.96954565276151
1145705,1,57,5.0,9,-121.95966563508959,36.96945716456293
1145705,1,57,5.0,9,-121.95712566717026,36.96976337452315
1145705,2,80,6.0,3,-121.95699511902863,36.96954397718808
1145705,3,63,6.0,3,-121.95724418143693,36.96955728993548
1145705,3,63,5.0,8,-121.84576239073877,36.619980833870336
1145705,3,63,5.0,14,-121.8416467117372,36.6215287629088
1145705,3,63,5.0,16,-121.95703370594144,36.969675397143185
1145705,3,63,5.0,18,-121.96594568810374,36.973622453754764
1145705,3,63,5.0,18,-121.95736427350647,36.96995573785212
1149161,1,60,6.0,3,-121.40320914060176,36.84849595788978
1149161,1,60,5.0,7,-121.40094635360963,36.8244136474551
1149161,1,60,5.0,12,-121.40334787771401,36.84837108502699
1149161,1,60,5.0,13,-121.40117005172198,36.824411336455725
1149161,1,60,5.0,17,-121.40309795051623,36.84834199563375
1149684,1,63,6.0,3,-121.78691130970833,36.944228642007204
1149684,1,63,5.0,7,-121.77197257497926,36.90933863088203
1149684,1,63,5.0,11,-121.7776762915793,36.89950461232459
1149684,1,63,5.0,12,-121.7718093198041,36.90950169902193
1149684,1,63,5.0,16,-121.78709031638726,36.944016315611684
1149684,2,57,6.0,3,-121.78694984492296,36.94429613349935
1149684,2,57,5.0,8,-121.76605934853578,36.94997137937755
1149684,2,57,5.0,9,-121.7870326715248,36.944405496826846
1149684,2,57,5.0,11,-121.76043285600613,36.920109241396545
1149684,2,57,5.0,11,-121.7867966527833,36.94441318355275
1149684,2,57,5.0,12,-121.9885986571432,36.985499074070106
1149684,2,57,5.0,12,-122.02266898808907,37.034768221034184
1149684,2,57,5.0,13,-122.03056130309568,36.97458516165754
1149684,2,57,5.0,14,-121.7871655161371,36.944315577842076
1149684,2,57,5.0,17,-121.76046488253994,36.91986538837424
1149684,2,57,5.0,18,-121.78692649957635,36.944102682416315
1156069,1,72,6.0,3,-122.05652266228468,36.964399863766005
1156069,1,72,5.0,12,-121.9648711741447,36.98062930784555
1156069,1,72,5.0,12,-121.95239169320246,36.978961079721934
1156069,1,72,5.0,14,-121.95336422918538,36.97948195750119
1156069,1,72,5.0,14,-121.96668805306886,36.972357222680216
1156069,1,72,5.0,14,-121.96633382100835,36.97732156931073
1156069,1,72,5.0,15,-122.05672082632258,36.96418831354268
1161753,1,70,6.0,3,-121.98079361032254,36.959898673564176
1161753,2,52,6.0,3,-121.98093066085158,36.95981424456267
1161753,2,52,5.0,8,-122.01828220293659,36.9734970495807
1161753,2,52,5.0,8,-121.99595010869358,36.96542491841869
1161753,2,52,5.0,13,-121.9648108309901,36.974102421852955
1161753,2,52,5.0,13,-121.9652590646108,36.97117165122643
1161753,2,52,5.0,15,-121.98069947079615,36.959785312863005
1163311,1,92,6.0,3,-122.03163921091543,36.967023809081525
1163311,1,92,3.0,12,-122.02111472246088,36.9797193089223
1163311,1,92,3.0,14,-122.0313335577553,36.96716142788047
1163558,1,67,6.0,3,-121.63737667204617,36.72983418359548
1163668,1,52,6.0,3,-121.71188828769114,36.56939390748982
1163668,1,52,5.0,6,-121.64187168313825,36.65924495013798
1163668,1,52,5.0,15,-121.71224455901401,36.56962177680133
1163668,2,68,6.0,3,-121.71218294835955,36.56929271454884
1163668,3,24,6.0,3,-121.7119640431356,36.56960352293683
1163668,4,6,6.0,3,-121.71208379828448,36.56936788218187
1163668,5,3,6.0,3,-121.71206108719922,36.56932377176671
1165418,1,84,6.0,3,-121.98356127544604,36.99015048816525
1165418,1,84,5.0,14,-122.02337147816256,37.053812420700815
1165418,2,54,6.0,3,-121.98325945129207,36.99011921789746
1165418,2,54,5.0,5,-122.02353367810991,37.054125377388765
1165418,2,54,5.0,10,-121.96443984796295,36.96356961095345
1165418,2,54,5.0,12,-121.98311037924327,36.990338679258706
1165418,2,54,5.0,14,-122.02364373346816,37.0537356710378
1173561,1,66,6.0,3,-122.03656295278348,36.97631652717663
1173561,1,66,5.0,11,-122.02605723423646,36.97672819931638
1173561,1,66,5.0,12,-122.03672856088731,36.97633366999525
1173561,1,66,5.0,13,-121.96815674739518,36.986852876073435
1173561,1,66,5.0,15,-122.04585496496426,36.959584717187376
1173561,1,66,5.0,15,-122.03690466706038,36.97667067622754
1314866,1,72,6.0,3,-122.08289576708599,37.08698459504471
1314866,2,72,6.0,3,-122.08277377681452,37.0870889357376
1315685,1,63,6.0,3,-121.99971991348549,36.98365013034222
1315685,1,63,5.0,13,-121.98028857101338,37.07476880597151
1315685,1,63,5.0,15,-121.99946407531881,36.98373401783975
1340453,1,47,6.0,3,-122.08517883695589,37.08724007435682
1340453,2,59,6.0,3,-122.08487752986149,37.087018167189136
1340453,3,13,6.0,3,-122.08498475331646,37.087368596485845
1354121,1,60,6.0,3,-121.616638071695,36.70572037807207
1354121,1,60,5.0,5,-121.66445449169397,36.71917605069536
1354121,1,60,5.0,6,-121.61657007339626,36.705562319953074
1354121,1,60,5.0,8,-121.62008833627931,36.652950867123344
1354121,1,60,5.0,8,-121.66755070576521,36.69399614880737
1354121,1,60,5.0,13,-121.66463701049732,36.719353502465815
1354121,1,60,5.0,14,-121.62784155082105,36.6727787569189
1354121,1,60,5.0,15,-121.66756129067711,36.69387098636101
1354121,1,60,5.0,17,-121.62048022762544,36.652924927732435
1354121,1,60,5.0,17,-121.62916737116316,36.67322719129017
1354121,1,60,5.0,17,-121.61658420977619,36.70562731285336
1354121,2,61,6.0,3,-121.61672827867675,36.705987424016186
1354121,2,61,5.0,5,-121.66456556491023,36.719030452129466
1354121,2,61,5.0,14,-121.62776183441535,36.67250939859357
1354121,2,61,5.0,15,-121.6675754415645,36.69397591512814
1354121,2,61,5.0,17,-121.62021061125583,36.65338762988276
1354121,2,61,5.0,17,-121.6292160376657,36.673325103017106
1354121,2,61,5.0,17,-121.61684241579358,36.705801897105
1360023,1,61,6.0,3,-122.13573669625367,37.07532260011111
1360023,1,61,5.0,14,-122.03040731486124,37.04642578891333
1360023,1,61,5.0,15,-122.08067959226621,37.062043920788604
1360023,1,61,5.0,15,-122.13566418747025,37.07530675644985
1360023,2,63,6.0,3,-122.13586449059993,37.07553482536025
1360023,2,63,5.0,7,-122.08056304689296,37.06219063863066
1360023,2,63,5.0,8,-122.13578941331744,37.07570374916241
1360023,3,38,6.0,3,-122.1360565318736,37.07560759852353
1360023,4,15,6.0,3,-122.13579408146818,37.075474766801825
1360023,4,15,5.0,7,-122.08026673175996,37.06215700654396
1360023,4,15,5.0,15,-122.13585613107189,37.075406798288675
1383058,1,42,6.0,3,-121.65051294137078,36.67394268940421
1383058,1,42,5.0,5,-121.79058376693854,36.728156981847455
1383058,1,42,5.0,18,-121.65042218406602,36.67421892178747
1383058,2,35,6.0,3,-121.65004993484108,36.67386667714451
1383058,2,35,5.0,9,-121.59595650611354,36.69527809877775
1383058,2,35,5.0,18,-121.65015873591167,36.674175826836745
1383058,3,25,6.0,3,-121.65038942594133,36.674131469390815
1383058,3,25,5.0,5,-121.79060329705365,36.727762571220396
1383058,3,25,5.0,18,-121.65020463599525,36.674188223702394
1383127,1,55,6.0,3,-121.9222583060343,37.3706378753451
1383127,1,55,1.0,13,-122.0250908183738,36.97462035443915
1383127,1,55,3.0,14,-122.02644053045705,36.98037776902427
1383127,1,55,3.0,16,-122.0337258058909,36.99011210057385
1383127,1,55,3.0,18,-122.02653218942854,36.980392537967134
1383127,1,55,3.0,19,-122.02630871681774,36.980010028008714
1383127,1,55,3.0,20,-122.02647010158063,36.98019836530555
1393791,1,50,6.0,3,-122.005460057915,37.14051939619287
1393791,1,50,5.0,7,-121.97373221056456,37.318470843021345
1393791,1,50,5.0,17,-121.92244601281551,37.3480562954706
1393791,1,50,5.0,19,-122.00516506295052,37.14032469914686
1393791,2,52,6.0,3,35.24371793118014,38.96389522794204
1393791,3,16,6.0,3,35.243567096818076,38.96417411347226
1402871,1,66,6.0,3,-121.62746268788761,36.746768917926154
1402871,2,66,6.0,3,-121.62753301085509,36.746464765245896
1408699,1,51,6.0,3,-121.76008853455049,36.92342465754142
1408699,1,51,5.0,6,-121.66936088220608,36.89797964317386
1408699,1,51,5.0,18,-121.76004556745939,36.92350553048631
1408699,2,46,6.0,3,-121.7597487623276,36.923620281456614
1408699,2,46,5.0,8,-121.7510642799653,36.926639902914005
1408699,2,46,5.0,9,-121.87682826182117,36.95105936734469
1408699,2,46,5.0,17,-121.76019982075522,36.923313644339046
1408699,3,18,6.0,3,-121.76014568905957,36.92364670867234
1408699,3,18,1.0,14,-121.65696815243372,36.714638474465275
1408699,3,18,1.0,16,-121.7599674986662,36.92352485240364
1408699,4,8,6.0,3,-121.76013622482516,36.9236012108858
1408699,4,8,5.0,8,-121.75108195322422,36.926871889869254
1408699,4,8,5.0,13,-121.75998385728137,36.9235845532779
1415367,1,75,6.0,3,-121.83590419583082,36.59800976378367
1415367,1,75,5.0,7,-121.8432279882252,36.61684689188949
1415367,1,75,5.0,13,-121.84341573592309,36.619463924871496
1415367,1,75,5.0,13,-121.84359764614824,36.616710996431614
1415367,1,75,5.0,14,-121.855315309305,36.6105032347644
1415367,1,75,5.0,15,-121.8362137591992,36.598175027948955
1415367,1,75,5.0,15,-121.81581043819297,36.576508069281715
1415367,1,75,5.0,16,-121.83604603026467,36.597979649071846
1415367,2,73,6.0,3,-121.83600910263061,36.597884596595314
1415367,2,73,5.0,11,-121.93231070692967,36.623787601388614
1415367,2,73,5.0,12,-121.93267698130222,36.631443345185396
1415367,2,73,5.0,14,-121.93224717190122,36.623937399035825
1415367,2,73,5.0,14,-121.91727818345035,36.61809941143543
1415367,2,73,5.0,15,-121.85955845983757,36.59618059557478
1415367,2,73,5.0,15,-121.83632844287773,36.59812188754669
1415367,2,73,5.0,15,-121.8157928382871,36.576414612563234
1415367,2,73,5.0,16,-121.83629462263586,36.59805921650305
1423229,1,41,6.0,3,-121.8473037948742,36.60341443897038
1423229,1,41,5.0,6,-121.85732837161191,36.59827030536519
1423229,1,41,5.0,7,-121.83966871836557,36.61681473889411
1423229,1,41,5.0,7,-121.83730422236165,36.60929877569833
1423229,1,41,5.0,9,-121.84703132209876,36.60326985834529
1423229,1,41,5.0,9,-121.85737488402424,36.598346730876045
1423229,1,41,5.0,10,-121.83067245984536,36.60909968110015
1423229,1,41,5.0,12,-121.85718918766779,36.598682236351294
1423229,1,41,5.0,12,-121.84749887842608,36.60337307175554
1423229,2,42,6.0,3,-121.84726026206076,36.603199867592174
1423229,2,42,5.0,6,-121.85734814243216,36.5986287345762
1423229,2,42,5.0,7,-121.84708048500306,36.603305532241876
1423229,2,42,5.0,9,-121.84745217867479,36.60325857668762
1423229,2,42,5.0,9,-121.85707073392624,36.59843418847683
1423229,2,42,5.0,10,-121.83048313785446,36.609347690074344
