HHID,PERID,AGE,MODE,ARR_HR,XCORD,YCORD
1122699,1,67,6.000,3,-121.638,39.008
1122699,1,67,5.000,9,-121.648,38.980
1122699,1,67,5.000,16,-121.633,38.944
1126000,1,34,6.000,3,-121.700,38.555
1126000,1,34,5.000,12,-121.705,38.555
1126000,2,33,6.000,3,-121.705,38.554
1126000,2,33,5.000,12,-121.701,38.559
1126000,3,2,6.000,3,-121.694,38.557
1126000,3,2,5.000,12,-121.710,38.564
1142474,1,52,6.000,3,-121.297,38.824
1142474,1,52,5.000,6,-121.323,38.713
1142474,1,52,5.000,17,-121.284,38.824
1142474,2,13,6.000,3,-121.291,38.834
1142842,1,50,6.000,3,-121.717,38.560
1142842,1,50,5.000,7,-121.722,38.559
1142842,1,50,5.000,17,-121.724,38.550
1142842,2,51,6.000,3,-121.729,38.559
1142842,2,51,2.000,8,-121.789,38.529
1142842,2,51,2.000,18,-121.731,38.557
1142842,3,25,6.000,3,-121.725,38.556
1142842,3,25,5.000,8,-121.925,38.277
1142842,3,25,5.000,17,-121.729,38.556
1143025,1,51,6.000,3,-121.565,39.158
1143025,1,51,5.000,8,-121.583,39.143
1143025,1,51,5.000,17,-121.580,39.165
1143025,1,51,5.000,19,-121.578,39.162
1143025,2,55,6.000,3,-121.571,39.151
1143025,2,55,5.000,9,-121.585,39.146
1143025,2,55,5.000,12,-121.577,39.150
1143025,2,55,5.000,13,-121.583,39.140
1143025,2,55,5.000,17,-121.558,39.160
1143025,2,55,5.000,19,-121.566,39.155
1144704,1,54,6.000,3,-120.743,38.713
1144704,1,54,5.000,6,-120.789,38.710
1144704,1,54,5.000,18,-120.683,38.687
1144704,2,54,6.000,3,-120.740,38.704
1144704,2,54,5.000,5,-121.421,38.559
1147084,1,56,6.000,3,-121.771,38.548
1147084,1,56,5.000,8,-121.731,38.544
1147084,1,56,5.000,13,-121.778,38.551
1147084,1,56,5.000,13,-121.718,38.545
1147084,1,56,5.000,17,-121.777,38.556
1147084,2,45,6.000,3,-121.769,38.560
1147084,2,45,2.000,13,-121.755,38.530
1147084,2,45,2.000,18,-121.778,38.553
1147084,3,26,6.000,3,-121.780,38.556
